n,sessions,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
140,14,111.55711706435645,112.8757301779522,0.012523451599999746,0.004288098399999285,25.188433928199995,0.008995869260071426,0.011899620000000333,0.0048788944,24.810122305200025,0.008860757966142866,0.9647900396430321,0.035209960356967815,0.9654865573872371,0.03451344261276288,1.5142857142857142,16880.0,7040.0,1.4714285714285715,16640.0,6920.0
140,56,113.00646798713947,111.27900987857458,0.01326110519999979,0.0036756842000000844,99.20356746619998,0.008857461380910713,0.01567563919999983,0.0036948091999993602,99.61617114159999,0.008988799463332827,0.9654633547968933,0.03453664520310662,0.964449943431452,0.035550056568548,1.471428571428571,66560.0,27680.0,1.5227825877825878,66840.4,27800.0
160,16,112.59909918090008,117.81909427282676,0.011272228000000162,0.004273410999999916,28.507177356599993,0.008908492923937496,0.012473180400000228,0.004904240400000148,27.340675089800005,0.008543960965562501,0.965197618794581,0.03480238120541899,0.9668534915879043,0.033146508412095786,1.4875,19120.0,7960.0,1.375,18400.0,7600.0
160,64,116.43492174866682,114.02189013434136,0.013888181000000088,0.003648002400000472,110.12683608919997,0.008603659069468748,0.014654633800000061,0.0036495122000005597,112.39771496699996,0.008781071481796873,0.9666262536877358,0.033373746312264155,0.9652418332253587,0.03475816677464123,1.39375,74080.0,30640.0,1.4625,75600.6,31280.0
180,18,119.19417555026799,115.9751733349495,0.011303132399999449,0.004294591799999914,30.27086185119998,0.00840857273644444,0.01132007860000055,0.004923263999999206,31.171295085199983,0.008658693079222218,0.9674621572330253,0.03253784276697462,0.9663968580225267,0.03360314197747316,1.3333333333333333,20400.0,8400.0,1.411111111111111,20960.0,8680.0
180,72,118.05781058306158,114.91293303314788,0.011972426800000413,0.0036742479999998245,122.11166891320002,0.00847997700786111,0.012034064999999794,0.0036194862000002103,124.65160453640001,0.008704940126611112,0.9671765551421757,0.03282344485782438,0.9661693117147049,0.03383068828529512,1.3555555555555556,82240.0,33920.0,1.4246478873239437,83760.0,34720.0
200,20,120.01008558817516,117.98877561723289,0.01131802159999964,0.004269687199999983,33.45106382219999,0.008362765955549996,0.011249363599999595,0.004321494999999587,33.6886459438,0.008512541212805261,0.9676127943695138,0.03238720563048625,0.9670005362468409,0.03299946375315903,1.3199999999999998,22560.0,9280.0,1.3652631578947367,22680.0,9360.0
200,80,119.67810035178118,117.17050840673895,0.011383207400000117,0.004221258600000643,133.8173888492,0.008363586803075,0.013802111199999658,0.003652670600000063,136.0489159392,0.008544576086596676,0.967682111679266,0.03231788832073405,0.9667164031566235,0.03328359684337649,1.3199999999999998,90240.0,37120.0,1.3790506329113925,91600.2,37800.0
220,22,121.09595512713038,121.82334881140443,0.011293784400000728,0.0048844865999992495,36.3828509738,0.008268829766772725,0.011299174399999678,0.004901035200000514,36.131721450799986,0.008211754875181814,0.9681319487609663,0.03186805123903369,0.9684008841509755,0.03159911584902444,1.290909090909091,24560.0,10080.0,1.2727272727272727,24400.0,10000.0
220,88,119.00049293699799,122.18575024597621,0.011366106800000431,0.003633534000000438,148.16002299180002,0.00841818312453409,0.014766320999999962,0.0035894726000000434,143.75588490139995,0.00818608253797126,0.967452745672517,0.032547254327482955,0.9680593862237326,0.03194061377626758,1.3363636363636364,99840.0,41120.0,1.275496342737722,97240.6,39720.0
