nodes_number,send_count,success_count,throughput,generation_latency,success_rate,fidelity_avg,fidelity_loss_avg
66,100,98,0.3790944015430789,2.6378653863775505,98.0,0.9899703807952922,0.010029619204707796
67,100,98,0.3688600594755637,2.7110552479489805,98.0,0.9899707748541451,0.010029225145854914
68,100,99,0.36214690094485447,2.7613103892121225,99.0,0.9899703320814712,0.010029667918528773
69,100,98,0.35084804082403803,2.850236808081631,98.0,0.9899704795478855,0.010029520452114471
70,100,99,0.344259300106093,2.9047871755151493,99.0,0.9899700023177058,0.010029997682294178
71,100,98,0.33234634797105417,3.0089092481530604,98.0,0.9899701413404831,0.010029858659516888
72,100,99,0.3267168793010975,3.060754014727273,99.0,0.9899704762751977,0.010029523724802258
73,100,98,0.31485194273110734,3.1760960130204086,98.0,0.9899703938164429,0.010029606183557083
74,100,99,0.31025068270414924,3.2231999984141413,99.0,0.9899699589223495,0.010030041077650487
75,100,98,0.3010228961961901,3.3220064408265317,98.0,0.9899702969959057,0.010029703004094337
76,100,98,0.29418779850206106,3.3991892426938777,98.0,0.9899699309945665,0.010030069005433462
77,100,98,0.2871888669723864,3.482029127877549,98.0,0.9899705165635034,0.010029483436496567
78,100,98,0.28031047404985965,3.5674728295102063,98.0,0.9899704921205719,0.010029507879428134
79,100,98,0.2738099067279886,3.6521688055408146,98.0,0.9899704499712891,0.010029550028710865
80,100,98,0.26559535599187445,3.7651260740816332,98.0,0.9899704825475504,0.010029517452449621
81,100,98,0.2598603231238153,3.8482211827448984,98.0,0.9899704547350916,0.010029545264908402
82,100,98,0.25448720532597063,3.929470633775509,98.0,0.989970105706389,0.010029894293611008
83,100,98,0.24846528748014884,4.024707073336733,98.0,0.9899703489365067,0.010029651063493294
84,100,98,0.2433723459314538,4.108930273785714,98.0,0.9899705500315231,0.010029449968476878
85,100,98,0.23729479147252802,4.214167507826532,98.0,0.9899703775576275,0.010029622442372488
86,100,98,0.23272180544886964,4.29697594546939,98.0,0.9899704188993752,0.010029581100624796
87,100,98,0.22741960422153437,4.397158298744897,98.0,0.9899704334245059,0.010029566575494142
88,100,98,0.2230509365028446,4.483280884979592,98.0,0.9899703105453878,0.010029689454612245
89,100,99,0.22084045958479706,4.528155764030303,99.0,0.9899702135874697,0.010029786412530273
90,100,98,0.21392751553497905,4.674480501020408,98.0,0.9899707517854972,0.010029248214502795
91,100,99,0.2116000491633316,4.725896822585857,99.0,0.9899700956467667,0.010029904353233254
92,100,98,0.20526502260139792,4.871750614530611,98.0,0.9899704081786864,0.010029591821313577
93,100,98,0.20062954012592724,4.9843108815,98.0,0.9899701279978803,0.010029872002119689
94,100,98,0.19681902293163236,5.080809695653062,98.0,0.9899701979121092,0.010029802087890838
95,100,98,0.1928047248621287,5.186594886173472,98.0,0.9899702847826017,0.01002971521739826
96,100,99,0.19056744792924704,5.2474859209494955,99.0,0.9899706288546395,0.01002937114536051
97,100,98,0.1849761451755525,5.406102495275514,98.0,0.9899699870848966,0.010030012915103415
98,100,97,0.18066442194176935,5.535124122680413,97.0,0.9899703073180407,0.010029692681959301
99,100,96,0.17471272959913686,5.723681395708332,96.0,0.9899700849947702,0.010029915005229761
100,100,94,0.16882153565892058,5.923414901404255,94.0,0.989970038620575,0.010029961379425023
