n,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
19,16.83196767136699,110.97069252048055,0.06154993100000006,0.05774818899999801,29.705380248000026,0.059410760496000053,0.059425695,0.008356039999998899,4.505694148999934,0.009011388297999868,0.7683708591232717,0.23162914087672826,0.7464759569557186,0.25352404304428144,17.0,18500,9000,2.0,3501,1000
20,15.970030797605846,110.74672509918005,0.06417618699999927,0.06086304400000131,31.308643441999983,0.06261728688399996,0.062278286,0.008346484000000487,4.514806189999942,0.009029612379999883,0.7577900402878335,0.24220995971216652,0.7378711397082456,0.2621288602917544,18.0,19500,9500,2.0,3501,1000
21,15.17364716336066,110.94057528037469,0.0674101899999986,0.06414904899999918,32.95186678699994,0.06590373357399988,0.065037949,0.008315174999999897,4.506917317999969,0.009013834635999939,0.7473239935230844,0.25267600647691557,0.7294209118397141,0.27057908816028586,19.0,20500,10000,2.0,3501,1000
22,14.461914953162658,110.80755445590111,0.07102230499999962,0.06712059999999909,34.573567996999984,0.06914713599399996,0.06974282,0.008383322000000248,4.512327723999979,0.009024655447999958,0.7371241367299203,0.2628758632700797,0.721072493607536,0.278927506392464,20.0,21500,10500,2.0,3501,1000
23,13.807480629364942,110.59813222444951,0.07398341300000055,0.07099502899999521,36.21225431500003,0.07242450863000006,0.072212294,0.008257884999999021,4.520872007000014,0.009041744014000028,0.7271002393015329,0.2728997606984671,0.7115581681212146,0.28844183187878536,21.0,22500,11000,2.0,3501,1000
24,13.215826595123183,110.56474974913948,0.07717620600000075,0.07372971900000014,37.83342618799998,0.07566685237599996,0.0757609,0.008349195000000975,4.5222369799999615,0.009044473959999922,0.717320548296559,0.282679451703441,0.674019635667719,0.32598036433228095,22.0,23500,11500,2.0,3501,1000
25,12.67031920011283,110.41095152024756,0.080615525999999,0.07744977899999839,39.46230494299997,0.07892460988599995,0.079229251,0.008349156000001301,4.528536283000044,0.009057072566000088,0.7077036131361124,0.2922963868638876,0.6375798600776147,0.3624201399223853,23.0,24500,12000,2.0,3502,1000
26,12.17867088703644,110.20802217581574,0.08410040899999771,0.08075427999999896,41.05538318900004,0.08211076637800008,0.083052051,0.008144534999999564,4.536874812999965,0.00907374962599993,0.6983854332831846,0.3016145667168154,0.6308274672923545,0.3691725327076455,24.0,25500,12500,2.0,3502,1000
27,11.70843807919522,110.10192081961279,0.08723650800000016,0.08366596999999842,42.704244291000045,0.08540848858200009,0.085639977,0.008177381999999511,4.54124684000003,0.009082493680000059,0.6891270858277943,0.31087291417220575,0.6242299925582891,0.37577000744171085,25.0,26500,13000,2.0,3502,1000
28,11.278015433170284,110.0256988389102,0.09054437199999998,0.08631819600000012,44.334041123,0.088668082246,0.087045814,0.008320270999998769,4.544392857999978,0.009088785715999956,0.6801086052643056,0.3198913947356944,0.6177340171311628,0.3822659828688372,26.0,27500,13500,2.0,3502,1000
29,10.884391647967636,109.79170127177473,0.09338863099999983,0.09008074300000146,45.937340016000014,0.09187468003200003,0.092873255,0.00834703099999956,4.5540782610000425,0.009108156522000085,0.671309600312025,0.328690399687975,0.6113340292439532,0.3886659707560468,27.0,28500,14000,2.0,3502,1000
30,10.50952377151297,109.67210979261917,0.09694148100000177,0.09324082999999916,47.57589505199997,0.09515179010399995,0.095592348,0.008191283999998689,4.5590442360000045,0.009118088472000008,0.6626389837790447,0.33736101622095527,0.6050439943292603,0.39495600567073974,28.0,29500,14500,2.0,3502,1000
31,10.160276842126986,109.41687519559053,0.10059021200000018,0.09616386299999746,49.21125750500006,0.09842251501000013,0.098890095,0.008292413999996029,4.569679028999997,0.009139358057999994,0.6541476717890462,0.3458523282109538,0.5988897830000541,0.40111021699994587,29.0,30500,15000,2.0,3502,1000
32,9.833917398177729,109.22437143068933,0.10359927400000402,0.09966848700000241,50.742748773999985,0.10168887529859716,0.101774889,0.008306603000000079,4.577732912999968,0.009155465825999937,0.6458416773074391,0.35415832269256087,0.5928092859297218,0.4071907140702782,30.05811623246493,31498,15500,2.0,3502,1000
33,9.529590956312306,109.16440974998824,0.10680091300000072,0.10289483199999694,52.36321289,0.1049362983767535,0.104812851,0.008314648000002478,4.580247364000004,0.00916049472800001,0.6377141074880179,0.36228589251198207,0.5866376413451464,0.4133623586548536,31.05811623246493,32496,15999,2.0,3502,1000
34,9.240629697633768,108.9695054753789,0.11047322300000317,0.10628279000000163,54.000648909000006,0.10821773328456916,0.108231269,0.008314135,4.5884396540000125,0.009176879308000025,0.6297345915744332,0.37026540842556677,0.5729605587618841,0.4270394412381159,32.05811623246493,33494,16498,2.0,3502,1000
35,8.97661810495254,108.84281857256694,0.1131246560000001,0.10888500399999934,55.58886366399992,0.11140052838476938,0.111750249,0.008344294999997004,4.593780338999982,0.009187560677999963,0.6219900911126278,0.3780099088873722,0.5656293231853375,0.43437067681466246,33.05811623246493,34492,16997,2.0,3502,1000
36,8.71792589911254,108.7045334524537,0.11644077100000061,0.11268759100000025,57.238385112999964,0.11470618259118229,0.114078605,0.008346543999998346,4.599624174999979,0.009199248349999958,0.6143113284558921,0.3856886715441079,0.5601187609327654,0.43988123906723464,34.06012024048096,35491,17496,2.0,3502,1000
37,8.476639995727625,108.76625005327443,0.11975987399999966,0.11613026599999898,58.86766457600001,0.1179712716953908,0.116723276,0.008315267000000404,4.597014236999958,0.009194028473999916,0.6068174155674758,0.3931825844325242,0.5547410273919487,0.44525897260805125,35.06012024048096,36489,17996,2.0,3502,1000
38,8.248390327586309,108.44077114663142,0.12312860300000494,0.11878862200000029,60.496652095999956,0.12123577574348689,0.120753312,0.008261419000000103,4.610811918000012,0.009221623836000024,0.5994848732394542,0.4005151267605458,0.5494415281531528,0.45055847184684716,36.05811623246493,37485,18494,2.0,3502,1000
39,8.033242387174973,108.25999904025836,0.12648332899999915,0.12239711099999795,62.116885803999985,0.1244827370821643,0.126272055,0.008226292999999885,4.618511032999976,0.009237022065999951,0.5923048606138634,0.40769513938613655,0.5442198903587905,0.4557801096412095,37.06012024048096,38485,18994,2.0,3502,1000
40,7.827843034871508,108.09096326873217,0.13055234200000143,0.1254447909999996,63.74680710600005,0.12774911243687384,0.12740265,0.00825162399999968,4.625733594000051,0.009251467188000103,0.5852768692790796,0.4147231307209204,0.53912537737582,0.46087462262418,38.05811623246493,39482,19492,2.0,3502,1000
41,7.632029505610828,108.09310990280783,0.1334099400000004,0.12902644600000102,65.38234681,0.13102674711422846,0.130062161,0.008333471000000259,4.625641731000026,0.009251283462000052,0.5783648892613482,0.4216351107386518,0.53411078103865,0.46588921896135005,39.05811623246493,40480,19991,2.0,3502,1000
